"時間戳記","S1. 請問您的性別是?","S2. 請問您的出生西元年份為何?  EX: 1990","S3. 請問您的婚姻狀況為何？","S4. 請問您的經濟狀況與壓力程度為何？ ","Q1. 您覺得現階段『台灣式的民主』偏向於哪個階段? ","Q2. 您認為下列哪個選項最符合你心目中「民主」最重要的特質？","Q3. 您認為『台灣目前的民主制度需要大幅改革』嗎？","Q4.  請問你平常對政治議題的關注程度為何？","Q5. 請問您得政治立場偏向? ","Q6. 您通常從哪些管道獲取政治或民主相關資訊？"
"2025/03/30 10:42:52 下午 GMT+8","男性","1995","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","1. 程序民主：僅擁有程序民主。","公民參與決策的機會","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏藍","新聞媒體"
"2025/03/30 10:43:25 下午 GMT+8","男性","1982","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","1. 程序民主：僅擁有程序民主。","法律面前人人平等","非常同意","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","偏白","新聞媒體;社群平台"
"2025/03/30 10:45:06 下午 GMT+8","女性","1970","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;社群平台;學校或職場"
"2025/03/30 10:47:57 下午 GMT+8","女性","1984","已婚，有小孩","嚴重：金錢問題已影響我的生活與心理健康","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","法律面前人人平等","普通","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","無偏向以上任何色彩","新聞媒體"
"2025/03/30 10:48:15 下午 GMT+8","男性","1968","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","1. 程序民主：僅擁有程序民主。","廉能負責的政府","非常同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體"
"2025/03/30 10:48:54 下午 GMT+8","女性","1971","單身，有小孩","偏高：經濟常常讓我感到壓力，需精打細算過日子","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","廉能負責的政府","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","無偏向以上任何色彩","新聞媒體;社群平台;家人或朋友"
"2025/03/30 10:59:21 下午 GMT+8","女性","1989","已婚，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","廉能負責的政府","同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏藍","新聞媒體;社群平台"
"2025/03/30 11:00:25 下午 GMT+8","男性","1987","已婚，有小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","社群平台"
"2025/03/30 11:04:37 下午 GMT+8","女性","1967","已婚，有小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","2. 初步理想：開始理想民主，但隨時會消滅。","廉能負責的政府","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏藍","新聞媒體;社群平台"
"2025/03/30 11:04:41 下午 GMT+8","男性","1990","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","1. 程序民主：僅擁有程序民主。","公平的選舉制度","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;家人或朋友"
"2025/03/30 11:07:44 下午 GMT+8","男性","1990","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","偏綠","社群平台"
"2025/03/30 11:10:42 下午 GMT+8","男性","1991","單身，無小孩","中度：收入與支出差不多，有時會擔心生活開銷","4. 理想落實：理想民主已落實在許多地方。","公民參與決策的機會","不同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台;家人或朋友"
"2025/03/30 11:17:25 下午 GMT+8","男性","1990","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","不同意","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","無偏向以上任何色彩","新聞媒體;社群平台;家人或朋友"
"2025/03/30 11:17:30 下午 GMT+8","女性","1994","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","4. 理想落實：理想民主已落實在許多地方。","言論與新聞自由","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/03/30 11:20:19 下午 GMT+8","男性","1994","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","4. 理想落實：理想民主已落實在許多地方。","公民參與決策的機會","同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","社群平台"
"2025/03/30 11:22:53 下午 GMT+8","男性","1993","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","言論與新聞自由","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台"
"2025/03/30 11:25:12 下午 GMT+8","男性","1992","單身，無小孩","中度：收入與支出差不多，有時會擔心生活開銷","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","言論與新聞自由","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台;家人或朋友"
"2025/03/30 11:30:17 下午 GMT+8","男性","1985","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","5. 達成理想民主：已完全達成理想民主。","公民參與決策的機會","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台"
"2025/03/30 11:30:18 下午 GMT+8","女性","1994","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","廉能負責的政府","非常同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體"
"2025/03/30 11:30:59 下午 GMT+8","女性","1982","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","社群平台;家人或朋友"
"2025/03/30 11:34:12 下午 GMT+8","男性","1987","單身，無小孩","中度：收入與支出差不多，有時會擔心生活開銷","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","偏綠","新聞媒體;家人或朋友"
"2025/03/30 11:55:07 下午 GMT+8","男性","1984","已婚，有小孩","中度：收入與支出差不多，有時會擔心生活開銷","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","反藍白","新聞媒體;社群平台"
"2025/03/31 12:01:08 上午 GMT+8","男性","1979","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","廉能負責的政府","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體"
"2025/03/31 12:04:48 上午 GMT+8","男性","1984","已婚，有小孩","偏高：經濟常常讓我感到壓力，需精打細算過日子","1. 程序民主：僅擁有程序民主。","法律面前人人平等","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏白","社群平台"
"2025/03/31 12:09:10 上午 GMT+8","男性","1990","已婚，無小孩","中度：收入與支出差不多，有時會擔心生活開銷","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","法律面前人人平等","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏白","新聞媒體;社群平台;家人或朋友"
"2025/03/31 12:12:54 上午 GMT+8","男性","1991","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台;家人或朋友"
"2025/03/31 12:27:49 上午 GMT+8","女性","1990","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","言論與新聞自由","普通","5. 完全不關心：我對政治幾乎無感，不想也不願花時間在這方面","無偏向以上任何色彩","社群平台;家人或朋友"
"2025/03/31 12:32:20 上午 GMT+8","非二元性別","1992","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","言論與新聞自由","非常不同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;家人或朋友"
"2025/03/31 12:33:41 上午 GMT+8","女性","1998","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","言論與新聞自由","普通","5. 完全不關心：我對政治幾乎無感，不想也不願花時間在這方面","無偏向以上任何色彩","新聞媒體;學校或職場;家人或朋友"
"2025/03/31 1:10:15 上午 GMT+8","女性","1991","單身，無小孩","偏高：經濟常常讓我感到壓力，需精打細算過日子","2. 初步理想：開始理想民主，但隨時會消滅。","言論與新聞自由","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","無偏向以上任何色彩","新聞媒體"
"2025/03/31 1:18:34 上午 GMT+8","男性","1994","已婚，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公平的選舉制度","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","社群平台"
"2025/03/31 1:18:41 上午 GMT+8","女性","1992","已婚，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","4. 理想落實：理想民主已落實在許多地方。","言論與新聞自由","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體"
"2025/03/31 1:51:16 上午 GMT+8","男性","1991","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","4. 理想落實：理想民主已落實在許多地方。","公平的選舉制度","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體"
"2025/03/31 5:45:15 上午 GMT+8","女性","1957","已婚，有小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","1. 程序民主：僅擁有程序民主。","公平的選舉制度","非常同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體"
"2025/03/31 6:27:24 上午 GMT+8","女性","1971","已婚，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公平的選舉制度","普通","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","無偏向以上任何色彩","社群平台"
"2025/03/31 6:43:33 上午 GMT+8","女性","1968","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;社群平台"
"2025/03/31 7:18:34 上午 GMT+8","女性","1958","已婚，有小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公平的選舉制度","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體"
"2025/03/31 7:29:43 上午 GMT+8","男性","1991","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","廉能負責的政府","同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台;家人或朋友"
"2025/03/31 7:31:44 上午 GMT+8","女性","1993","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","不同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/03/31 7:33:37 上午 GMT+8","女性","1983","已婚，有小孩","中度：收入與支出差不多，有時會擔心生活開銷","2. 初步理想：開始理想民主，但隨時會消滅。","法律面前人人平等","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台"
"2025/03/31 8:12:08 上午 GMT+8","女性","1988","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","非常同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台"
"2025/03/31 8:21:00 上午 GMT+8","男性","1995","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","普通","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","無偏向以上任何色彩","社群平台"
"2025/03/31 8:24:44 上午 GMT+8","男性","1985","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台"
"2025/03/31 8:30:49 上午 GMT+8","女性","1995","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","廉能負責的政府","普通","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","偏藍","新聞媒體;社群平台;家人或朋友"
"2025/03/31 8:33:57 上午 GMT+8","女性","1975","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","1. 程序民主：僅擁有程序民主。","廉能負責的政府","同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體"
"2025/03/31 8:39:13 上午 GMT+8","男性","1995","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/03/31 8:40:30 上午 GMT+8","男性","1994","單身，無小孩","偏高：經濟常常讓我感到壓力，需精打細算過日子","2. 初步理想：開始理想民主，但隨時會消滅。","廉能負責的政府","普通","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","無偏向以上任何色彩","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/03/31 8:40:49 上午 GMT+8","男性","1969","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","廉能負責的政府","非常同意","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","要是非 知廉恥","新聞媒體"
"2025/03/31 8:45:00 上午 GMT+8","女性","1987","已婚，有小孩","中度：收入與支出差不多，有時會擔心生活開銷","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公平的選舉制度","普通","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","無偏向以上任何色彩","家人或朋友"
"2025/03/31 8:47:48 上午 GMT+8","男性","1995","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","1. 程序民主：僅擁有程序民主。","法律面前人人平等","同意","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","偏白","新聞媒體"
"2025/03/31 8:48:22 上午 GMT+8","男性","1994","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏白","新聞媒體;社群平台"
"2025/03/31 8:50:20 上午 GMT+8","男性","1995","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","無偏向以上任何色彩","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/03/31 8:55:37 上午 GMT+8","男性","1995","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","4. 理想落實：理想民主已落實在許多地方。","言論與新聞自由","普通","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","偏白","新聞媒體;社群平台;家人或朋友"
"2025/03/31 8:57:33 上午 GMT+8","男性","1993","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","4. 理想落實：理想民主已落實在許多地方。","公平的選舉制度","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏白","新聞媒體"
"2025/03/31 8:57:57 上午 GMT+8","女性","1992","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","言論與新聞自由","同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;社群平台"
"2025/03/31 8:58:33 上午 GMT+8","男性","1992","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/03/31 8:58:47 上午 GMT+8","男性","1994","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台"
"2025/03/31 9:03:38 上午 GMT+8","男性","1984","已婚，有小孩","嚴重：金錢問題已影響我的生活與心理健康","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","非常同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;社群平台"
"2025/03/31 9:07:48 上午 GMT+8","男性","1992","單身，無小孩","中度：收入與支出差不多，有時會擔心生活開銷","1. 程序民主：僅擁有程序民主。","公平的選舉制度","非常同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;社群平台"
"2025/03/31 9:09:26 上午 GMT+8","男性","1992","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","5. 達成理想民主：已完全達成理想民主。","公民參與決策的機會","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/03/31 9:36:40 上午 GMT+8","男性","1984","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台"
"2025/03/31 9:40:34 上午 GMT+8","男性","1983","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公平的選舉制度","不同意","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","偏綠","新聞媒體;社群平台"
"2025/03/31 9:43:01 上午 GMT+8","男性","1995","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","公平的選舉制度","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","無偏向以上任何色彩","新聞媒體;社群平台;家人或朋友"
"2025/03/31 9:58:55 上午 GMT+8","女性","1983","已婚，有小孩","中度：收入與支出差不多，有時會擔心生活開銷","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;家人或朋友"
"2025/03/31 10:17:32 上午 GMT+8","男性","1984","已婚，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","4. 理想落實：理想民主已落實在許多地方。","公民參與決策的機會","同意","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","偏綠","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/03/31 12:43:49 下午 GMT+8","女性","1987","已婚，有小孩","偏高：經濟常常讓我感到壓力，需精打細算過日子","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公平的選舉制度","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體"
"2025/03/31 1:04:00 下午 GMT+8","女性","1980","已婚，有小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公平的選舉制度","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體"
"2025/03/31 1:17:49 下午 GMT+8","女性","1989","已婚，有小孩","中度：收入與支出差不多，有時會擔心生活開銷","4. 理想落實：理想民主已落實在許多地方。","公民參與決策的機會","普通","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","無偏向以上任何色彩","新聞媒體"
"2025/03/31 1:22:01 下午 GMT+8","女性","1990","單身，無小孩","中度：收入與支出差不多，有時會擔心生活開銷","2. 初步理想：開始理想民主，但隨時會消滅。","廉能負責的政府","同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;社群平台;家人或朋友"
"2025/03/31 1:44:08 下午 GMT+8","女性","1969","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","1. 程序民主：僅擁有程序民主。","廉能負責的政府","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","無偏向以上任何色彩","新聞媒體;學校或職場;家人或朋友"
"2025/03/31 1:54:22 下午 GMT+8","男性","1988","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;社群平台"
"2025/03/31 2:03:03 下午 GMT+8","男性","1979","已婚，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","1. 程序民主：僅擁有程序民主。","言論與新聞自由","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","無偏向以上任何色彩","新聞媒體"
"2025/03/31 3:03:00 下午 GMT+8","女性","1985","已婚，有小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","不同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台;家人或朋友"
"2025/03/31 8:05:44 下午 GMT+8","女性","1992","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台;家人或朋友"
"2025/03/31 9:25:45 下午 GMT+8","女性","1967","單身，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","非常同意","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;家人或朋友"
"2025/03/31 9:46:01 下午 GMT+8","男性","1974","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","言論與新聞自由","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","無偏向以上任何色彩","新聞媒體;社群平台"
"2025/03/31 10:03:17 下午 GMT+8","女性","1990","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","公民參與決策的機會","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","社群平台;家人或朋友"
"2025/03/31 10:20:09 下午 GMT+8","男性","1976","單身，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","5. 達成理想民主：已完全達成理想民主。","言論與新聞自由","同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","無偏向以上任何色彩","新聞媒體"
"2025/04/01 8:04:56 上午 GMT+8","男性","1995","單身，無小孩","中度：收入與支出差不多，有時會擔心生活開銷","4. 理想落實：理想民主已落實在許多地方。","言論與新聞自由","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","無偏向以上任何色彩","新聞媒體;社群平台;家人或朋友"
"2025/04/01 8:01:31 下午 GMT+8","男性","1995","單身，無小孩","沒有：經濟非常穩定，完全不會為金錢感到煩惱","4. 理想落實：理想民主已落實在許多地方。","公民參與決策的機會","非常同意","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","反共的，目前偏綠","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/04/02 5:53:34 下午 GMT+8","女性","1993","已婚，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","4. 理想落實：理想民主已落實在許多地方。","法律面前人人平等","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體"
"2025/04/02 11:56:42 下午 GMT+8","女性","1994","已婚，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","2. 初步理想：開始理想民主，但隨時會消滅。","公民參與決策的機會","普通","2. 關注：我會追蹤時事新聞、和親友討論政治，投票前會認真研究候選人","偏綠","新聞媒體;社群平台"
"2025/04/02 11:57:35 下午 GMT+8","男性","1994","已婚，無小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","1. 程序民主：僅擁有程序民主。","言論與新聞自由","非常同意","1. 極度關注：政治對我很重要，我會主動討論、參與相關活動，關心政治發展是生活一部分","無偏向以上任何色彩","新聞媒體;社群平台;學校或職場;家人或朋友"
"2025/04/02 11:58:10 下午 GMT+8","女性","1996","單身，無小孩","中度：收入與支出差不多，有時會擔心生活開銷","4. 理想落實：理想民主已落實在許多地方。","言論與新聞自由","普通","3. 普通：有重大事件會留意，但平常不會特別關心或談論","偏綠","新聞媒體;社群平台;家人或朋友"
"2025/04/02 11:58:58 下午 GMT+8","女性","1964","已婚，有小孩","輕微：經濟尚稱穩定，偶爾會擔心金錢問題","3. 穩定發展：理想民主開始慢慢發酵，不容易被消滅。","廉能負責的政府","同意","4. 不太關心：偶爾會聽到政治話題，但不太主動了解或表達意見","偏綠","新聞媒體;社群平台;家人或朋友"