NO,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q111,Q112,Q113,Q114,Q12,Q13,A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,H1,H2,I1,I2,I3,J1,J2,J3,K1,K2,K3,K4
1,1, ,2,1, ,4,3,4,4,1,1,0,1,0,2,1,5,5,5,6,5,5,6,5,6,5,6,5,6,5,5,3,3,4,4,5,5,4,3,3,3,3,4,3,3,4,3,4,3,4
2,1,6,2,1,7,3,4,4,4,1,1,0,1,0,2,1,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,3,4,4,3,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4
3,1,4,2,1,4,4,2,2,3,1,0,1,1,0,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2,2,5,5,2,4,2,2,2,1,1,1,5,5,2,5
4,1,2,1,1,3,4,2,2,2,1,0,1,1,0,1,1,5,4,5,5,5,5,4,4,5,4,5,5,4,5,3,3,3,3,3,3,4,6,3,3,1,1,2,1,1,2,4,5,3,4
5,2,4,3,1,6,4,3,2,3,3,0,1,1,0,3,1,5,5,4,4,4,5,3,5,5,4,5,5,4,5,3,3,3,4,3,2,4,6,1,4,3,3,1,2,1,2,5,5,1,4
6,2,2,1,1,3,4,1,1,3,1,0,1,1,0,2,1,4,5,5,4,4,5,3,5,4,4,4,4,3,5,3,4,3,3,1,3,3,5,3,3,3,2,2,3,2,2,3,3,3,4
7,2,1,1,1,2,4,3,3,3,1,0,0,1,1,1,1,5,5,4,6,5,5,4,5,5,5,5,5,5,5,4,4,4,2,3,3,5,6,3,4,3,2,1,4,2,3,5,5,2,6
8,1,2,1,1,1,4,2,2,3,1,1,0,0,1,1,2,4,4,3,2,3,4,3,5,4,4,5,5,4,5,6,5,6,4,2,4,3,5,4,3,3,4,3,4,3,5,5,4,2,3
9,2,1,1,1,2,4,2,1,3,4,0,0,1,1,1,2,3,3,4,4,4,4,3,4,4,3,5,4,4,3,4,3,3,3,1,2,3,1,3,3,1,2,3,3,5,3,4,4,2,4
10,1,2,1,1,4,3,4,2,2,1,0,0,1,1,1,2,1,3,2,2,2,1,2,3,1,1,2,1,2,3,3,2,2,2,1,2,4,2,2,3,3,2,3,2,3,3,3,5,6,2
11,1,1,1,1,3,3,2,1,2,1,0,0,1,1,1,1,5,4,5,4,5,3,3,3,5,4,5,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
12,1,2,3,1,1,3,1,1,3,2,0,0,1,1,4,2,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,3
13,1,2,1,1,1,4,2,1,3,1,0,1,1,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14,2,2,1,1,3,4,3,1,3,2,0,0,1,1,2,2,3,3,3,3,3,3,2,3,3,3,2,4,3,2,2,2,2,2,2,2,3,2,2,4,3,4,4,4,4,3,4,4,5,6
15,2,1,1,1,2,4,2,2,4,3,0,0,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,1,1,1,1,1,4,2,2,4,3,0,0,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17,1,1,1,1,1,4,2,1,2,2,0,0,1,1,2,2,5,5,4,5,5,4,4,5,4,4,5,4,4,5,3,3,3,3,3,3,4,5,2,4,3,3,3,2,2,3,4,4,3,4
18,2,1,1,1,2,2,2,2,3,4,1,0,1,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3
19,2,1,1,1,3,4,2,1,3,1,1,0,1,0,1,2,2,1,5,4,3,2,2,4,6,5,6,5,3,5,2,2,5,3,1,1,5,2,2,4,2,2,2,1,1,4,4,4,3,4
20,2,1,1,2,1,3,2,2,2,2,0,1,1,0,1,1,6,6,6,6,6,6,3,6,6,6,6,6,6,6,1,1,1,4,1,1,6,6,4,4,1,1,1,1,1,1,6,6,6,6
21,1,1,1,1,2,4,3,2,2,1,0,1,1,0,2,1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,1,1,1,1,2,4,3,2,2,1,1,0,1,0,3,1,5,5,5,5,5,5,3,5,5,4,5,5,3,5,5,5,5,6,4,4,4,2,4,4,4,2,4,3,3,2,5,5,3,3
23,2,2,1,1,1,4,2,2,1,1,0,0,1,1,2,1,6,6,6,6,6,5,5,5,6,6,6,5,6,6,2,2,2,3,3,3,5,5,4,4,3,2,2,2,2,2,5,5,2,5
24,1,2,1,1,3,4,2,1,3,2,1,0,0,1,2,2,3,3,4,4,4,4,1,4,3,3,4,3,3,3,5,3,6,4,2,2,2,6,3,3,3,3,3,5,1,1,6,6,3,4
25,2,1,1,1,2,4,1,2,3,2,0,0,1,1,1,1,5,5,5,5,5,4,4,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,4,3,4
26,1,2,1,1,3,3,2,2,3,3,0,0,1,1,2,2,4,5,4,4,5,4,2,5,4,5,5,5,5,4,6,6,6,6,3,2,6,6,4,4,4,4,5,5,4,4,4,5,3,4
27,2,1,1,1,1,3,2,2,3,2,0,0,1,1,1,2,4,4,6,5,5,6,5,6,4,5,4,5,5,5,5,6,6,4,3,2,4,2,3,5,1,3,2,1,1,1,3,2,1,6
28,1,1,1,1,3,4,3,4,3,2,1,0,0,1,2,1,4,4,4,4,4,3,3,3,4,4,4,3,3,3,2,2,2,3,3,3,5,2,3,4,3,3,2,3,2,2,6,6,3,4
29,1,1,1,1,3,4,3,2,2,1,0,0,1,1,1,2,3,4,5,3,4,4,3,5,5,5,4,5,3,4,5,4,4,4,2,2,4,4,4,3,4,3,3,3,3,3,4,4,1,5
30,1,1,1,1,1,4,3,3,3,1,1,0,1,0,1,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,5,4,4,5,5,5,5,4,4
31,2,1,1,3,1,4,1,1,2,2,1,1,0,0,2,1,3,4,5,3,3,4,3,2,4,6,4,4,4,5,4,4,4,5,5,5,5,6,6,6,4,4,5,4,5,5,4,4,4,5
32,2,1,1,1,3,4,3,2,3,1,0,1,1,0,1,1,5,6,5,6,6,5,4,4,6,5,5,6,5,5,2,2,2,3,2,2,4,5,4,4,4,3,2,2,2,2,5,5,4,5
33,1,2,1,1,2,3,1,1,1,1,1,1,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
34,1,1,1,1,1,3,4,5,3,3,0,1,1,0,1,1,2,2,3,3,3,5,4,4,5,4,4,5,5,5,5,5,5,2,2,5,5,5,3,4,2,2,4,1,1,3,5,5,1,4
35,1,1,1,1,2,4,2,2,2,3,1,1,0,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
36,1,2,1,1,4,4,2,2,1,2,1,0,1,0,2,2,4,3,3,4,5,4,2,4,6,4,6,6,3,5,2,2,2,1,1,3,5,6,1,6,3,3,3,1,3,2,4,5,1,3
37,2,1,1,1,1,3,2,2,2,2,1,0,1,0,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
38,1,1,1,1,3,4,1,1,3,1,1,0,0,1,2,2,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,3,3,3,5,6,3,3,3,3,3,2,2,2,2,2,2,4
39,2,1,1,1,1,1,2,2,3,1,0,0,1,1,1,1,4,5,4,5,5,4,5,4,5,4,5,5,5,4,4,4,4,5,4,4,4,4,5,3,4,4,4,3,3,3,4,4,2,5
40,1,2,1,1,2,4,2,2,1,1,0,0,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
41,2,1,1,2,2,4,2,2,2,1,0,0,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,5,6,5,5,4,6,6,6,5,6,6,6
42,2,1,1,1,1,4,1,1,2,1,0,1,1,0,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,1,2,3,1,4,3,5,2,3,2,1,0,1,0,2,1,5,5,5,5,4,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,5
44,2,1,1,1,2,4,3,2,3,1,0,0,1,1,2,1,4,4,4,4,4,3,3,4,4,4,4,4,2,4,5,5,5,4,3,3,4,4,5,4,3,4,4,3,3,3,3,4,3,3
45,1,1,1,1,1,4,3,2,3,2,0,1,0,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
46,1,2,1,1,1,4,1,2,1,2,0,0,1,1,1,2,3,4,3,4,4,4,2,3,4,4,5,5,4,5,3,4,5,5,4,4,3,2,4,3,3,3,2,5,4,5,4,3,1,2
47,1,2,3,1,6,4,3,2,3,2,1,0,1,0,2,1,3,4,4,4,4,4,3,5,6,4,6,6,3,5,3,3,6,2,2,3,4,4,3,3,3,3,3,2,2,3,3,3,3,3
48,1,1,1,1,2,4,1,1,2,2,0,0,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49,1,2,2,1,4,4,1,1,3,1,0,1,1,0,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50,1,1,1,1,3,4,2,1,3,2,0,1,1,0,2,1,4,5,4,5,5,5,5,5,5,4,5,5,4,4,3,3,2,3,3,3,4,3,4,2,4,4,4,1,1,1,3,4,1,3
51,1,1,1,2,2,4,1,1,3,1,0,0,1,1,2,2,4,3,4,4,4,3,3,5,5,5,5,4,5,5,5,3,5,1,4,1,6,6,3,3,4,4,4,4,4,4,4,4,4,4
52,2,1,1,1,1,3,1,2,3,1,1,0,1,0,2,1,5,4,3,5,5,4,4,4,6,4,6,6,4,6,5,5,5,3,5,4,6,6,5,2,2,2,2,2,2,2,3,3,1,5
53,1,2,1,1,2,4,2,2,3,1,1,0,1,0,1,1,5,5,5,4,5,4,3,5,5,4,6,5,3,4,3,5,4,2,1,3,4,5,2,5,5,2,2,3,2,3,4,4,4,5
54,1,1,1,1,1,4,3,4,3,2,0,0,1,1,2,2,5,5,5,5,5,4,2,5,4,4,5,5,5,5,2,3,5,2,2,2,5,5,2,2,2,1,1,1,3,2,5,5,1,5
55,2,1,1,1,3,4,1,1,3,4,0,0,1,1,2,1,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,3,5,5,5,5
56,2,1,1,1,3,3,1,1,3,1,0,1,1,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
57,2,1,1,1,3,3,2,2,2,2,0,0,1,1,2,2,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,3,3,4,5,5,3,3,4,3,3,4,4,3,4,4,3,3,4
58,1,1,1,1,1,3,2,2,2,2,0,0,1,1,1,2,4,4,4,5,4,4,4,5,5,4,5,3,3,4,3,5,4,2,1,3,4,5,2,4,5,3,3,3,3,5,3,5,1,4
59,1,1,1,1,1,2,2,1,2,2,1,1,0,0,2,1,1,2,1,3,2,4,3,2,2,1,3,3,2,1,1,2,3,2,1,1,3,3,3,3,2,1,2,4,3,2,2,3,3,2
60,2,1,1,1,1,3,1,1,2,2,0,0,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
61,1,1,1,1,1,3,3,2,1,1,0,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
62,1,1,1,1,2,4,3,2,3,1,1,0,1,0,1,2,3,3,3,3,3,3,3,3,4,2,4,3,2,2,4,5,3,5,4,5,5,4,4,3,3,4,5,6,3,4,4,5,4,5
63,2,2,1,1,1,4,2,2,2,3,0,0,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,3,3,2,3,1,1,1,1,1,1,2,2,1,5
64,2,1,1,1,1,4,2,1,2,2,0,0,1,1,2,1,5,5,3,4,5,5,3,5,5,3,5,5,3,4,4,4,4,3,3,2,3,5,2,3,3,2,2,3,2,2,5,5,2,4
65,1,1,1,1,1,4,3,3,2,1,0,0,1,1,2,1,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,2,3,3,1,1,5,3,4,3,4,4,3,4,3,3,4,3,3,4
66,2,1,1,1,1,4,3,3,3,2,0,0,1,1,2,1,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3
67,1,1,1,1,3,3,2,2,2,2,1,1,0,0,2,2,4,3,4,3,4,4,3,4,3,4,3,3,4,4,4,3,3,3,4,3,4,4,3,4,3,3,4,4,3,4,3,4,3,3
68,2,1,1,2,2,4,2,1,3,4,0,0,1,1,1,2,6,5,1,1,5,4,4,5,5,4,5,5,5,5,4,4,5,4,4,1,4,4,4,4,4,4,5,4,5,5,5,5,5,5
69,1,1,1,1,3,4,2,3,2,1,0,0,1,1,1,2,3,3,4,3,4,4,3,4,4,3,5,5,5,3,2,6,6,3,2,2,6,6,3,3,3,3,2,3,3,3,5,5,3,3
70,1,1,1,1,2,4,1,2,3,2,0,0,1,1,2,2,3,3,3,4,4,3,3,4,4,4,4,4,4,4,2,4,4,3,3,3,3,4,3,3,3,3,3,5,3,4,4,4,3,4
71,2,1,1,4,1,3,1,1,1,1,1,0,1,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
72,2,4,2,2,4,3,2,2,4,2,1,0,1,0,2,1,4,5,3,5,5,4,4,5,4,4,4,4,4,4,4,4,5,4,5,4,5,6,2,3,3,3,3,4,3,3,4,5,5,6
73,2,2,2,1,4,2,1,2,2,1,1,0,0,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,2,2,4,3,3,3,3,3,3,3,1,1,4,4,3,3
74,2,1,1,3,1,4,3,3,3,1,0,1,1,0,1,1,6,6,6,6,6,6,3,5,6,6,6,6,4,5,3,3,3,3,2,3,4,4,2,4,3,3,3,2,2,2,5,5,4,5
75,1,2,1,4,2,4,2,2,3,2,0,0,1,1,2,2,3,3,3,3,3,4,2,3,3,3,3,4,2,4,3,3,5,3,4,3,4,3,3,3,3,3,3,2,2,2,3,5,3,3
76,2,1,1,1,2,4,2,2,2,1,0,0,1,1,1,1,4,4,6,5,4,4,4,4,5,4,5,5,5,5,1,1,2,1,1,1,4,6,2,2,1,1,1,1,1,2,5,5,1,3
77,2,4,2,1,6,4,3,3,3,1,1,0,1,0,1,1,3,4,4,3,4,4,3,3,4,3,6,3,3,4,3,4,3,3,3,3,3,6,3,5,3,3,3,3,1,2,5,5,4,4
78,2,2,2,1,4,3,2,2,4,4,0,0,1,1,1,2,4,4,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,3,3,5,3,5,5,5,4,4,4,2,2,2,2
79,1,2,1,1,2,4,3,2,2,3,0,0,1,1,1,2,5,5,5,5,5,4,4,4,5,4,5,4,4,4,5,5,5,3,3,3,5,5,3,3,3,3,3,3,3,3,4,4,3,4
80,1,1,3,1,4,4,1,1,1,1,0,0,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
81,2,1,1,2,2,4,1,1,3,2,1,0,1,0,2,1,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3
82,1,1,1,1,1,4,3,2,3,2,0,0,1,1,1,2,4,4,3,3,3,4,3,4,4,3,5,4,4,5,5,5,5,5,5,5,4,5,4,3,3,3,3,4,4,4,3,4,3,3
83,1,1,1,4,2,4,2,1,3,3,0,0,1,1,2,2,4,4,4,4,4,3,2,4,4,4,4,4,2,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4
84,2,2,1,1,2,3,1,1,1,4,0,0,1,1,2,1,3,2,3,3,3,4,3,3,4,3,5,4,3,3,2,2,3,3,2,2,4,4,3,3,2,2,2,1,1,1,4,4,3,4
85,2,2,1,4,1,4,2,1,2,4,0,1,1,0,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,2,3,3,3,3,3,4,4,4,5
86,1,1,1,2,7,4,5,5,5,1,1,0,0,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
87,2,1,1,1,2,4,2,2,2,3,0,0,1,1,1,2,4,3,3,3,3,2,2,4,4,3,3,3,3,3,6,5,6,6,1,3,6,6,3,3,1,1,1,1,1,1,4,4,1,6
88,1,2,1,1,3,3,1,4,4,1,0,0,1,1,2,1,6,6,5,5,6,4,3,5,6,5,5,5,4,4,3,5,6,5,4,3,5,5,4,3,2,2,2,3,3,3,5,5,3,5
89,2,1,1,1,3,4,2,1,1,2,1,0,1,0,1,2,3,3,3,3,3,3,3,3,3,4,4,4,2,3,3,4,5,3,3,3,4,4,3,3,3,2,3,4,3,3,4,4,3,3
90,1,1,1,1,4,4,1,1,3,2,0,0,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1
91,1,1,1,1,1,3,3,2,2,4,0,0,1,1,1,1,3,3,3,3,3,4,3,4,3,3,4,3,3,3,2,3,3,4,1,3,3,4,3,3,3,3,3,3,3,3,4,4,1,3
92,1,2,2,1,4,3,3,2,2,1,0,0,1,1,2,2,5,5,4,4,4,5,3,5,5,4,5,4,4,5,3,3,2,4,1,1,4,1,1,3,1,1,1,1,1,1,6,6,1,4
93,2,2,1,2,1,4,1,1,1,3,0,0,1,1,4,1,5,4,4,5,5,6,2,4,5,5,5,5,3,5,2,2,2,2,2,2,5,4,2,2,2,2,2,2,2,2,3,3,3,3
94,1,1,1,1,1,4,2,2,2,3,0,0,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4
95,2,1,1,1,2,4,2,2,2,1,0,0,1,1,2,2,4,4,4,4,4,5,4,5,5,4,5,5,4,5,3,4,3,4,3,3,5,4,3,3,3,3,3,3,3,4,4,4,3,4
96,2,1,1,1,1,4,2,2,2,2,0,0,1,1,1,1,4,5,5,5,5,4,4,4,4,4,5,4,4,4,5,5,6,4,3,3,4,5,3,4,3,3,3,3,3,4,3,4,3,4
97,2,2,1,1,1,3,2,1,2,2,0,0,1,1,2,2,4,4,4,4,4,4,3,3,4,4,5,4,5,4,3,3,3,3,2,2,4,4,2,4,3,3,2,1,1,1,4,4,3,4
98,2,1,1,1,3,3,2,2,2,3,0,1,0,1,1,2,5,5,5,5,5,4,4,4,5,4,5,5,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3
99,1,1,1,1,3,1,3,2,4,1,1,0,1,0,1,1,4,4,4,4,4,3,3,4,4,4,5,5,4,4,1,1,1,3,1,1,5,5,2,5,1,1,1,1,3,1,5,5,2,4
100,2,1,1,1,3,4,2,2,4,1,0,0,1,1,1,2,4,4,4,4,4,6,6,6,6,5,5,5,6,6,4,3,3,4,4,4,3,5,3,3,4,4,4,4,4,4,5,5,5,5
101,1,1,1,1,1,4,2,1,2,2,0,0,1,1,2,1,4,4,4,5,4,4,3,5,5,4,5,6,6,6,1,1,1,2,1,1,5,5,2,4,1,1,1,1,1,1,4,4,4,5
102,2,2,1,4,1,3,2,2,2,3,0,0,1,1,2,2,6,6,6,6,6,6,6,6,6,6,6,5,5,6,2,5,3,4,1,2,5,5,2,4,1,1,1,1,1,1,6,6,2,6
103,2,1,1,1,2,4,1,1,3,1,0,1,1,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,3,3,4,4,4,4
104,2,1,1,1,2,4,2,2,2,1,1,0,0,1,2,1,5,5,5,5,5,4,3,4,5,3,5,5,4,4,6,5,6,4,3,4,4,6,4,2,4,4,4,3,5,5,3,3,3,4
105,2,1,1,4,2,3,1,1,3,4,0,1,1,0,2,2,4,4,5,4,4,4,3,4,5,3,4,3,3,4,3,3,3,3,3,3,3,3,2,4,3,3,2,2,2,2,4,4,2,4
106,2,2,1,1,1,3,2,2,2,2,1,0,1,0,2,2,5,5,4,5,5,5,5,5,5,5,5,4,4,5,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
107,2,1,1,1,2,4,1,2,2,1,0,1,1,0,1,1,3,4,4,4,4,4,3,5,4,4,4,4,5,5,4,3,4,4,2,1,4,4,3,3,2,2,2,1,2,1,2,2,2,4
108,2,1,1,1,2,4,1,2,3,2,0,1,1,0,1,1,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
109,1,1,1,1,1,3,2,1,6,2,0,0,1,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4
